SCW, Start Time, End Time
003900020010.001, 52677.2197240868, 52677.2807773646
003900020020.001, 52677.2807773646, 52677.3307426727
003900020030.001, 52677.3307426727, 52677.380707981
003900020040.001, 52677.380707981, 52677.4306848636
003900020050.001, 52677.4306848636, 52677.4806501722
003900020060.001, 52677.4806501722, 52677.530615481
003900020070.001, 52677.530615481, 52677.5805923639
003900020080.001, 52677.5805923639, 52677.6305576729
003900020090.001, 52677.6305576729, 52677.6805229819
003900020100.001, 52677.6805229819, 52677.730499865
003900020110.001, 52677.730499865, 52677.7804767481
003900020120.001, 52677.7804767481, 52677.822872608
003900020130.001, 52677.822872608, 52677.872837917
003900020140.001, 52677.872837917, 52677.9228148002
003900020150.001, 52677.9228148002, 52677.9727801092
003900020160.001, 52677.9727801092, 52678.0227454182
003900020170.001, 52678.0227454182, 52678.0727223013
003900020180.001, 52678.0727223013, 52678.1226991843
003900020190.001, 52678.1226991843, 52678.1726644932
003900020200.001, 52678.1726644932, 52678.2226298021
003900020210.001, 52678.2226298021, 52678.272595111
003900020220.001, 52678.272595111, 52678.3225604199
003900020230.001, 52678.3225604199, 52678.3725373029
003900020240.001, 52678.3725373029, 52678.4225026117
003900020250.001, 52678.4225026117, 52678.4494007766
003900030010.001, 52678.4504424439, 52678.5480003749
003900040010.001, 52678.5660212194, 52678.6701879507
003900040020.001, 52678.6701879507, 52678.774354682
003900040030.001, 52678.774354682, 52678.8787991913
003900040040.001, 52678.8787991913, 52678.9697598958
003900050010.001, 52678.970789989, 52679.0750030165
003900050020.001, 52679.0750030165, 52679.1791697476
003900050030.001, 52679.1791697476, 52679.2833364786
003900050040.001, 52679.2833364786, 52679.3875032096
003900050050.001, 52679.3875032096, 52679.4916699404
003900050060.001, 52679.4916699404, 52679.5958366712
003900050070.001, 52679.5958366712, 52679.7000034019
003900050080.001, 52679.7000034019, 52679.8041701326
004000020010.001, 52680.2117745502, 52680.3159297069
004000020020.001, 52680.3159297069, 52680.4200964375
004000020030.001, 52680.4200964375, 52680.5242631678
004000020040.001, 52680.5242631678, 52680.628429898
004000020050.001, 52680.628429898, 52680.7325966279
004000020060.001, 52680.7325966279, 52680.8367633577
004000020070.001, 52680.8367633577, 52680.9409300874
004000020080.001, 52680.9409300874, 52681.0450968171
004000020090.001, 52681.0450968171, 52681.1492635467
004000020100.001, 52681.1492635467, 52681.2534302762
004000020110.001, 52681.2534302762, 52681.3322613422
004000030020.001, 52681.3541479295, 52681.4041132374
004000030030.001, 52681.4041132374, 52681.4528401187
004000030040.001, 52681.4528401187, 52681.5015669999
004000030050.001, 52681.5015669999, 52681.5403633196
004000040010.001, 52681.5583610156, 52681.6121341961
004000040020.001, 52681.6121341961, 52681.6666944142
004200050010.001, 52686.43115325, 52686.4814542088
004200050020.001, 52686.4814542088, 52686.5314310931
004200050030.001, 52686.5314310931, 52686.5584912957
004200060010.001, 52686.5597065743, 52686.6098802172
004200060020.001, 52686.6098802172, 52686.6418362558
004200070010.001, 52686.642866349, 52686.6930399911
004200070020.001, 52686.6930399911, 52686.7251580662
004200080010.001, 52686.7261997336, 52686.776373375
004200080020.001, 52686.776373375, 52686.8084914498
004200090010.001, 52686.8095331171, 52686.8597067582
004200090020.001, 52686.8597067582, 52686.8918248328
004200110010.001, 52686.9761883087, 52687.0302276924
004200110020.001, 52687.0302276924, 52687.058491598
004200120010.001, 52687.0595332653, 52687.1097069059
004200120020.001, 52687.1097069059, 52687.1418249804
004200130010.001, 52687.1428550736, 52687.1930402884
004200130020.001, 52687.1930402884, 52687.2251583628
004200140010.001, 52687.226188456, 52687.2763736708
004200140020.001, 52687.2763736708, 52687.3084917453
004200150010.001, 52687.3095218385, 52687.3597070533
004200150020.001, 52687.3597070533, 52687.3918135538
004200160010.001, 52687.3928552211, 52687.443040436
004200160020.001, 52687.443040436, 52687.4930057436
004200160030.001, 52687.4930057436, 52687.5201238153
004200180010.001, 52687.5481562395, 52687.5983067325
004200180020.001, 52687.5983067325, 52687.6543484326
004200180030.001, 52687.6543484326, 52687.7043253141
004200180040.001, 52687.7043253141, 52687.7542906213
004200180050.001, 52687.7542906213, 52687.8042559283
004200180060.001, 52687.8042559283, 52687.8542328092
004200180070.001, 52687.8542328092, 52687.9212004404
004200180080.001, 52687.9212004404, 52687.971177321
004200180090.001, 52687.971177321, 52688.0211426273
004200180100.001, 52688.0211426273, 52688.0711079335
004200180110.001, 52688.0711079335, 52688.1210848137
004200180120.001, 52688.1210848137, 52688.1710501197
004200180130.001, 52688.1710501197, 52688.2210154257
004200180140.001, 52688.2210154257, 52688.2787353656
004300050010.001, 52689.6710625628, 52689.6965255405
004300060010.001, 52689.6978681339, 52689.7232616671
004300070010.001, 52689.7247200013, 52689.749754738
004300080010.001, 52689.7510973314, 52689.7764792905
004300090010.001, 52689.7778103098, 52689.8032501392
004300100010.001, 52689.8047084734, 52689.8297547841
004300110010.001, 52689.8310858034, 52689.8564793365
004300120010.001, 52689.8579376707, 52689.8829839813
004300130010.001, 52689.8843265747, 52689.9097085336
004300140010.001, 52689.9111668678, 52689.9362131784
004300150010.001, 52689.9375441977, 52689.9629377306
004300160010.001, 52689.9642687499, 52689.9897085791
004300170010.001, 52689.9911669133, 52690.0162016497
004300180010.001, 52690.017544243, 52690.0429146277
004300190010.001, 52690.0443729619, 52690.0694308464
004300200010.001, 52690.0707618656, 52690.0961438243
004300210010.001, 52690.0976021585, 52690.1226484688
004300220010.001, 52690.1239910622, 52690.1493730208
004300230010.001, 52690.1507040401, 52690.1761438691
004300240010.001, 52690.1776022033, 52690.2026485136
004300250010.001, 52690.2039795328, 52690.2293614915
004300260010.001, 52690.2308198256, 52690.2558777099
004300270010.001, 52690.2572203033, 52690.2826022618
004300280010.001, 52690.284060596, 52690.3091069062
004300290010.001, 52690.3104494995, 52690.3358314581
004300300010.001, 52690.3371624774, 52690.3625907323
004300310010.001, 52690.3640490664, 52690.3890953766
004300320010.001, 52690.39043797, 52690.4158083545
004300340010.001, 52690.4274866017, 52690.4529495788
004300350010.001, 52690.4544079129, 52690.4798477419
004300360010.001, 52690.481306076, 52690.5133547049
004300370010.001, 52690.5317922151, 52690.5572088959
004300380010.001, 52690.55866723, 52690.5840954849
004300390010.001, 52690.5854380782, 52690.6208431904
004300400010.001, 52690.6223015246, 52690.6477297793
004300410010.001, 52690.6491881134, 52690.674604794
004300420010.001, 52690.6760631281, 52690.7014913827
004300430010.001, 52690.7029497168, 52690.7283779713
004300440010.001, 52690.7298363055, 52690.7548826153
004300450010.001, 52690.7563409494, 52690.7817576298
004300460010.001, 52690.783215964, 52690.8086210703
004300470010.001, 52690.8100794045, 52690.8354845109
004300480010.001, 52690.836942845, 52690.8623479514
004300490010.001, 52690.8636789706, 52690.9056234378
004300500010.001, 52690.9069660312, 52690.9324290079
004300510010.001, 52690.933887342, 52690.9592808742
004300520010.001, 52690.9607392083, 52690.9861327405
004300530010.001, 52690.9875910746, 52691.0129846068
004300540010.001, 52691.0144313668, 52691.0394892506
004300550010.001, 52691.0409475847, 52691.0663411169
004300560010.001, 52691.067799451, 52691.0931814091
004300570010.001, 52691.0946397432, 52691.1200217014
004300580010.001, 52691.1213642947, 52691.1468156974
004300590010.001, 52691.1481582907, 52691.1736328415
004300600010.001, 52691.1750911757, 52691.2004731339
004300610010.001, 52691.201931468, 52691.2273018521
004300620010.001, 52691.2287601862, 52691.2541421444
004300630010.001, 52691.2555889044, 52691.2806583624
004300640010.001, 52691.2821166966, 52691.3074986548
004300650010.001, 52691.3089569889, 52691.3343505212
004300660010.001, 52691.3358088553, 52691.3612023877
004300670010.001, 52691.362544981, 52691.3880079579
004300680010.001, 52691.3893389771, 52691.4148135281
004300690010.001, 52691.4162718622, 52691.4416769687
004300700010.001, 52691.4431353028, 52691.4685519833
004300710010.001, 52691.4700103174, 52691.4954038497
004300720010.001, 52691.4968621838, 52691.5222672902
004300730010.001, 52691.5237256243, 52691.5587256433
004300740010.001, 52691.5601839774, 52691.585623806
004300750010.001, 52691.5870821401, 52691.6124988206
004300760010.001, 52691.6139571548, 52691.6393738353
004300770010.001, 52691.6408321694, 52691.6662372759
004300780010.001, 52691.6675798692, 52691.6930428461
004400020010.001, 52692.1710060696, 52692.2049181254
004400030010.001, 52692.2063764596, 52692.2318162885
004400040010.001, 52692.2332746226, 52692.2587028774
004400050010.001, 52692.2601612115, 52692.2856010403
004400060010.001, 52692.2870593745, 52692.3124876292
004400080010.001, 52692.3407399594, 52692.3661566399
004400090010.001, 52692.367614974, 52692.3930316545
004400100010.001, 52692.3944899886, 52692.4199066689
004400110010.001, 52692.421365003, 52692.4468048315
004400120010.001, 52692.4482631656, 52692.4732979012
004400130010.001, 52692.4747562354, 52692.5001613416
004400140010.001, 52692.5016196757, 52692.5270247819
004400150010.001, 52692.528483116, 52692.5538882222
004400160010.001, 52692.5553465563, 52692.5807632367
004400170010.001, 52692.5820942559, 52692.6075572325
004400180010.001, 52692.6088882518, 52692.6343628024
004400190010.001, 52692.6358211366, 52692.6612262427
004400200010.001, 52692.6626845768, 52692.6880781089
004400210010.001, 52692.689536443, 52692.714929975
004400220010.001, 52692.716376735, 52692.7414230446
004400230010.001, 52692.7428813787, 52692.7682749107
004400240010.001, 52692.7697332448, 52692.7951152028
004400250010.001, 52692.7965735369, 52692.8219439208
004400260010.001, 52692.8232865141, 52692.8487494907
004400270010.001, 52692.850092084, 52692.8755550606
004400280010.001, 52692.8770133947, 52692.9023953527
004400290010.001, 52692.9038536868, 52692.9292356448
004400300010.001, 52692.9306939789, 52692.9560759369
004400310010.001, 52692.9575226969, 52692.9825805806
004400320010.001, 52692.9840389148, 52693.0094324468
004400330010.001, 52693.010890781, 52693.0362843131
004400340010.001, 52693.0377426472, 52693.0631477534
004400350010.001, 52693.0644787727, 52693.0899533234
004400360010.001, 52693.0912843426, 52693.1167588934
004400370010.001, 52693.1182172275, 52693.1436107597
004400380010.001, 52693.1450690938, 52693.170485774
004400390010.001, 52693.1719441082, 52693.1973492143
004400400010.001, 52693.1988075484, 52693.2242010805
004400410010.001, 52693.2256594146, 52693.2507057242
004400420010.001, 52693.2521640583, 52693.2775923126
004400430010.001, 52693.2790506467, 52693.3044673269
004400440010.001, 52693.3059256611, 52693.3313423413
004400450010.001, 52693.3328006754, 52693.3582173557
004400460010.001, 52693.3595483749, 52693.3850229256
004400470010.001, 52693.3864812597, 52693.4119095141
004400480010.001, 52693.4133678482, 52693.4387961025
004400490010.001, 52693.4402544366, 52693.465694265
004400500010.001, 52693.467141025, 52693.4925924274
004400510010.001, 52693.4936225205, 52693.5203933681
004400530010.001, 52693.56510404, 52693.6010068369
004400540010.001, 52693.602465171, 52693.6278934253
004400550010.001, 52693.6293517595, 52693.6547684397
004400560010.001, 52693.656111033, 52693.6815740096
004400570010.001, 52693.6830323437, 52693.7084490239
004400580010.001, 52693.709907358, 52693.7353240381
004400590010.001, 52693.7367823723, 52693.7622106265
004400600010.001, 52693.7636689605, 52693.7890740666
004400610010.001, 52693.7905208266, 52693.8155787101
004400620010.001, 52693.8170370443, 52693.8424421502
004400630010.001, 52693.8439004844, 52693.8792592994
004400640010.001, 52693.8807176335, 52693.9061227395
004400650010.001, 52693.9075810737, 52693.9329861797
004400660010.001, 52693.9343287731, 52693.9597917495
004400670010.001, 52693.9611227688, 52693.9865973193
004400680010.001, 52693.9880556534, 52694.0134491854
004400690010.001, 52694.0149075195, 52694.0403010514
004400700010.001, 52694.0417593855, 52694.0671529174
004400710010.001, 52694.0685996774, 52694.0936459869
004400720010.001, 52694.0951043211, 52694.1204862789
004400730010.001, 52694.121944613, 52694.147338145
004400740010.001, 52694.1487964791, 52694.1741668629
004400750010.001, 52694.1754978821, 52694.2009724327
004400770010.001, 52694.2137502173, 52694.2392131938
004400780010.001, 52694.2406599538, 52694.2661113562
004400790010.001, 52694.2675696904, 52694.2930095187
004400800010.001, 52694.2944678528, 52694.3199076811
004400810010.001, 52694.3213660153, 52694.3467942695
004400820010.001, 52694.3481252887, 52694.3735882653
004400830010.001, 52694.3750465994, 52694.4339933898
004400850010.001, 52694.4339933898, 52694.454224882
004400860010.001, 52694.4556832161, 52694.4811114702
004400870010.001, 52694.4825698043, 52694.5076161138
004400880010.001, 52694.5090744479, 52694.5344911279
004400890010.001, 52694.535949462, 52694.594410141
004400910010.001, 52694.5962041234, 52694.6252550648
004400920010.001, 52694.6267018248, 52694.6517597084
004500020010.001, 52695.1659035012, 52695.1998155566
004500030010.001, 52695.2012738907, 52695.2266558488
004500040010.001, 52695.2281141829, 52695.253496141
004500050010.001, 52695.2549544751, 52695.2803364331
004500060010.001, 52695.2816674524, 52695.3071535771
004500130010.001, 52695.4555911555, 52695.4806606131
004500140010.001, 52695.4821073731, 52695.5075587753
004500150010.001, 52695.5090055353, 52695.5344569374
004500160010.001, 52695.5359036974, 52695.5613435254
004500180010.001, 52695.5897347437, 52695.6147579048
004500190010.001, 52695.6162162388, 52695.6416560668
004500200010.001, 52695.6431144009, 52695.6685542288
004500210010.001, 52695.6700125629, 52695.6954523909
004500220010.001, 52695.696910725, 52695.7223505529
004500230010.001, 52695.7236931462, 52695.7491561224
004500240010.001, 52695.7506144565, 52695.7760427103
004500250010.001, 52695.7775010444, 52695.8029292983
004500260010.001, 52695.8043876323, 52695.8298158862
004500270010.001, 52695.8312742202, 52695.856702474
004500280010.001, 52695.8580334932, 52695.8835080433
004500290010.001, 52695.8849779515, 52695.9103946312
004500300010.001, 52695.9118529653, 52695.937269645
004500310010.001, 52695.9387279791, 52695.9641330848
004500320010.001, 52695.9655914188, 52695.9910080986
004500450010.001, 52696.299723535, 52696.3251633628
004500460010.001, 52696.3266101228, 52696.3520615247
004500470010.001, 52696.3535198587, 52696.3789596866
004500480010.001, 52696.3804064466, 52696.4058578485
004500490010.001, 52696.4073277567, 52696.4323624918
004500500010.001, 52696.4338208258, 52696.4592375055
004500510010.001, 52696.4606958396, 52696.4861356674
004500520010.001, 52696.4875940015, 52696.5143185522
004500530010.001, 52696.5327676357, 52696.5581958894
004500540010.001, 52696.5596542235, 52696.5946542413
004500550010.001, 52696.5961125754, 52696.6215292551
004500560010.001, 52696.6229875892, 52696.6484158429
004500570010.001, 52696.649874177, 52696.6753024308
004500580010.001, 52696.6767607649, 52696.7022005928
004500800010.001, 52697.2691106033, 52697.2941684863
004500810010.001, 52697.2956268204, 52697.3210666481
004500820010.001, 52697.3225249822, 52697.34796481
004500830010.001, 52697.349423144, 52697.3748629718
004500840010.001, 52697.3763213059, 52697.4017611337
004500860010.001, 52697.4133004914, 52697.4364602255
004700200010.001, 52701.5920062105, 52701.6174691855
004700210010.001, 52701.6198997422, 52701.6466358661
005100590010.001, 52714.4232163638, 52714.4499756362
005100600010.001, 52714.4693274976, 52714.4947788991
005500820010.001, 52727.2426325473, 52727.2680955234
005500830010.001, 52727.2704566357, 52727.2959080376
005800230010.001, 52734.6614904985, 52734.6869534745
005800240010.001, 52734.6893840313, 52734.7148470072
010200090010.001, 52866.3414674664, 52866.3669304419
010200100010.001, 52866.3682730352, 52866.3937360107
010200110010.001, 52866.3951943447, 52866.4206688943
010200120010.001, 52866.4221272284, 52866.447613352
010200130010.001, 52866.4490716861, 52866.4745578097
010200140010.001, 52866.4759235511, 52866.5013749526
010200150010.001, 52866.5028332866, 52866.5282962621
010200160010.001, 52866.5297545962, 52866.5552175717
010200170010.001, 52866.5566759058, 52866.5821388813
010200180010.001, 52866.5834814745, 52866.6089444501
010200190010.001, 52866.6102754692, 52866.6357500189
010200200010.001, 52866.6372083529, 52866.6626713284
010200210010.001, 52866.6641296625, 52866.689581064
010200220010.001, 52866.691039398, 52866.7165139476
010200230010.001, 52866.7179722817, 52866.7434352572
010200240010.001, 52866.7448935913, 52866.7703565669
010200250010.001, 52866.771687586, 52866.7971505616
010200260010.001, 52866.7986088957, 52866.8240834453
010200270010.001, 52866.8255417794, 52866.8510047549
010200280010.001, 52866.852463089, 52866.8779260646
010200290010.001, 52866.8792686579, 52866.9047316334
010200300010.001, 52866.9061899675, 52866.9316529431
010200310010.001, 52866.9331112772, 52866.9768497248
010200320010.001, 52866.978192318, 52867.0036552937
010200330010.001, 52867.0051136277, 52867.0305766033
010200370010.001, 52867.7526718711, 52867.7935862435
010200370020.001, 52867.7935862435, 52867.8343038565
010200370030.001, 52867.8343038565, 52867.8684126699
010200380010.001, 52867.869442763, 52867.9104381539
010200380020.001, 52867.9104381539, 52867.9511557669
010200380030.001, 52867.9511557669, 52867.9918618059
010200380040.001, 52867.9918618059, 52868.0325678448
010200380050.001, 52868.0325678448, 52868.0795817574
010200380060.001, 52868.0795817574, 52868.1202877963
010200380070.001, 52868.1202877963, 52868.1609938355
010200380080.001, 52868.1609938355, 52868.2017114484
010200380090.001, 52868.2017114484, 52868.2687137969
010300020010.001, 52868.6107857282, 52868.6513876005
010300030010.001, 52868.6524292677, 52868.693308918
010300030020.001, 52868.693308918, 52868.7340265312
010300030030.001, 52868.7340265312, 52868.7747325702
010300030040.001, 52868.7747325702, 52868.8154386093
010300030050.001, 52868.8154386093, 52868.8621515959
017000370010.001, 53069.7643207228, 53069.787480458
017000380010.001, 53069.7889966625, 53069.8299110374
017000380020.001, 53069.8299110374, 53069.8706170789
017000380030.001, 53069.8706170789, 53069.9047490427
017000390010.001, 53069.9062073768, 53069.9293671121
017000400010.001, 53069.9303972053, 53069.9535569407
017000410010.001, 53069.9550152748, 53069.978151862
017000420010.001, 53069.9796796406, 53070.0028278019
017000690010.001, 53070.6044716612, 53070.6253165808
017000700010.001, 53070.6266476001, 53070.6474925196
017000710010.001, 53070.6489392797, 53070.6697957734
017000720010.001, 53070.6712541076, 53070.6920874531
017000730010.001, 53070.6934300465, 53070.714263392
017000740010.001, 53070.7157217261, 53070.7365550716
017000750010.001, 53070.7378860909, 53070.7587310104
017000760010.001, 53070.7601893446, 53070.7909648254
017000770010.001, 53070.7924231595, 53070.8132449308
017000780010.001, 53070.8145875242, 53070.8354208695
017000790010.001, 53070.8368792036, 53070.857724123
017000800010.001, 53070.8590551423, 53070.8798884875
017000810010.001, 53070.8813468217, 53070.9021801669
017000820010.001, 53070.9035227602, 53070.9243561054
017000830010.001, 53070.9256871247, 53070.9465320439
017000840010.001, 53070.947990378, 53070.9688352972
017000850010.001, 53070.9701663165, 53070.9909996615
017000860010.001, 53070.9923306808, 53071.0131755999
017000870010.001, 53071.014633934, 53071.035467279
017000880010.001, 53071.0367982983, 53071.0576547914
017000890010.001, 53071.0589858106, 53071.0798307296
017000900010.001, 53071.0812543415, 53071.1020066678
017000910010.001, 53071.1033376871, 53071.1241710319
017000920010.001, 53071.1256409401, 53071.1464742849
017000930010.001, 53071.1478053042, 53071.1686502231
017000940010.001, 53071.1701201313, 53071.190941902
017000950010.001, 53071.1922844953, 53071.21311784
017000960010.001, 53071.2145761742, 53071.2354095189
017700160010.001, 53090.4441355928, 53090.4695869958
017700170010.001, 53090.4719596823, 53090.4974110852
018100050010.001, 53102.0412715377, 53102.0631812737
022500120010.001, 53233.7873087374, 53233.8127717146
022500130010.001, 53233.8153527345, 53233.8421120086
022500140010.001, 53233.8608967411, 53233.886359718
022900500010.001, 53246.9562284319, 53246.9817145573
023900020010.001, 53275.4337560058, 53275.4780037201
023900020020.001, 53275.4780037201, 53275.5271009743
023900030010.001, 53275.5281426417, 53275.5512908047
023900040010.001, 53275.552332472, 53275.5754806349
023900050010.001, 53275.5765223023, 53275.599682039
023900060010.001, 53275.6007237064, 53275.6238718689
