x,Curve1
11.014,4.65027e-05
11.3744,3.77214e-05
11.8988,2.92699e-05
12.6087,2.18642e-05
13.0213,2.15895e-05
13.4473,1.79627e-05
13.7982,1.83084e-05
15.0998,1.51377e-05
15.4938,1.57255e-05
16.5242,1.45742e-05
17.1751,1.50446e-05
17.7371,1.46683e-05
18.5548,1.4951e-05
19.2857,1.43934e-05
20.3052,1.43944e-05
21.3786,1.33403e-05
21.6557,1.33406e-05
22.9477,1.19778e-05
24.1608,1.05514e-05
25.7677,9.17787e-06
27.305,8.08499e-06
28.1984,7.88277e-06
29.3092,7.2133e-06
31.2585,6.55918e-06
33.1235,6.04047e-06
35.7843,5.52775e-06
39.16,5.18864e-06
40.7025,5.22192e-06
43.131,5.12389e-06
45.1195,5.22265e-06
47.5046,5.46015e-06
48.4312,5.89215e-06
50.9913,6.1601e-06
53.3423,5.49576e-06
55.4434,4.60167e-06
57.9996,4.6607e-06
60.2842,4.54417e-06
63.4709,4.66127e-06
65.1269,4.60267e-06
66.3972,4.15857e-06
68.5697,3.64008e-06
69.9071,3.20646e-06
72.6608,3.43837e-06
75.0381,3.48242e-06
76.9959,3.20688e-06
81.0661,2.99096e-06
84.2593,2.73694e-06
90.4437,2.58531e-06
97.7092,2.45765e-06
110.425,2.55341e-06
119.296,2.73822e-06
127.23,2.89935e-06
145.651,3.14914e-06
161.457,3.62125e-06
168.901,3.73817e-06
175.554,3.83443e-06
198.4,4.16472e-06
224.22,4.66922e-06
237.598,4.91266e-06
243.797,5.10341e-06
270.253,5.36982e-06
290.09,5.79507e-06
299.581,6.05845e-06
321.57,6.05903e-06
365.766,6.66501e-06
418.725,7.52006e-06
440.859,8.32394e-06
464.164,8.75785e-06
479.351,8.53881e-06
548.755,8.98494e-06
604.401,9.51404e-06
665.689,1.00106e-05
728.486,1.08724e-05
762.072,1.08043e-05
787.007,1.12954e-05
839.349,1.15134e-05
872.411,1.17352e-05
883.719,1.14414e-05
918.529,1.10848e-05
