RA, DEC, Date
133.13461, 18.23402, 2452640.5
135.64353, 17.59249, 2452671.5
138.1248, 16.92216, 2452702.5
140.57899, 16.22478, 2452733.5
143.00678, 15.50206, 2452764.5
145.40891, 14.7557, 2452795.5
147.78632, 13.98736, 2452826.5
150.14, 13.19866, 2452857.5
152.47101, 12.39117, 2452888.5
154.78053, 11.56645, 2452919.5
157.06978, 10.72599, 2452950.5
159.34001, 9.87127, 2452981.5
161.59254, 9.0037, 2453012.5
163.82876, 8.12468, 2453043.5
166.05003, 7.23557, 2453074.5
168.25779, 6.33767, 2453105.5
170.45348, 5.43228, 2453136.5
172.63857, 4.52066, 2453167.5
174.81451, 3.60405, 2453198.5
176.9828, 2.68365, 2453229.5
179.14491, 1.76066, 2453260.5
181.30234, 0.83627, 2453291.5
183.45659, -0.08839, 2453322.5
185.60915, -1.01215, 2453353.5
187.76149, -1.93387, 2453384.5
189.91511, -2.8524, 2453415.5
192.07145, -3.76661, 2453446.5
194.23196, -4.67534, 2453477.5
196.39812, -5.57746, 2453508.5
198.57135, -6.4718, 2453539.5
200.75303, -7.3572, 2453570.5
202.94456, -8.23248, 2453601.5
205.14729, -9.09643, 2453632.5
207.36252, -9.94783, 2453663.5
209.59156, -10.78545, 2453694.5
211.83566, -11.60804, 2453725.5
214.09601, -12.41429, 2453756.5
216.37376, -13.20291, 2453787.5
218.67, -13.97256, 2453818.5
220.98572, -14.72188, 2453849.5
223.3219, -15.44948, 2453880.5
225.67939, -16.15396, 2453911.5
228.05895, -16.83389, 2453942.5
230.46128, -17.48782, 2453973.5
232.88694, -18.11427, 2454004.5
235.33634, -18.71177, 2454035.5
237.80981, -19.27884, 2454066.5
240.30755, -19.81396, 2454097.5
242.82957, -20.31567, 2454128.5
245.37577, -20.78248, 2454159.5
247.94591, -21.21293, 2454190.5
250.5395, -21.60558, 2454221.5
253.15597, -21.95904, 2454252.5
255.79457, -22.27196, 2454283.5
258.45435, -22.54303, 2454314.5
261.13424, -22.77103, 2454345.5
263.83303, -22.95481, 2454376.5
266.54929, -23.0933, 2454407.5
269.28154, -23.18553, 2454438.5
272.02815, -23.23066, 2454469.5
274.78737, -23.22793, 2454500.5
277.55738, -23.17674, 2454531.5
280.33637, -23.07662, 2454562.5
283.12239, -22.92722, 2454593.5
285.91354, -22.72837, 2454624.5
288.70792, -22.48001, 2454655.5
291.50364, -22.18228, 2454686.5
294.29888, -21.83545, 2454717.5
297.09196, -21.43994, 2454748.5
299.88123, -20.99633, 2454779.5
302.66517, -20.50535, 2454810.5
305.44245, -19.96789, 2454841.5
308.21183, -19.38496, 2454872.5
310.97224, -18.75774, 2454903.5
313.72283, -18.0875, 2454934.5
316.46288, -17.37565, 2454965.5
319.19186, -16.62373, 2454996.5
321.90944, -15.83336, 2455027.5
324.61543, -15.0063, 2455058.5
327.30982, -14.14437, 2455089.5
329.99279, -13.24951, 2455120.5
332.66467, -12.3237, 2455151.5
335.32592, -11.36903, 2455182.5
337.9772, -10.38762, 2455213.5
340.61924, -9.3817, 2455244.5
343.25288, -8.35352, 2455275.5
345.87913, -7.30539, 2455306.5
348.49905, -6.23968, 2455337.5
351.11379, -5.15878, 2455368.5
353.7246, -4.06513, 2455399.5
356.33278, -2.96119, 2455430.5
358.93964, -1.84949, 2455461.5
1.54656, -0.73253, 2455492.5
4.15496, 0.38713, 2455523.5
6.76619, 1.50691, 2455554.5
9.38171, 2.62423, 2455585.5
12.0029, 3.73651, 2455616.5
14.63111, 4.84113, 2455647.5
17.26766, 5.93549, 2455678.5
19.91382, 7.017, 2455709.5
22.57076, 8.08303, 2455740.5
25.2396, 9.13103, 2455771.5
27.92137, 10.15843, 2455802.5
30.61695, 11.16269, 2455833.5
33.3271, 12.14132, 2455864.5
36.05247, 13.09186, 2455895.5
38.79349, 14.01189, 2455926.5
41.55046, 14.89908, 2455957.5
44.32353, 15.75115, 2455988.5
47.11259, 16.56592, 2456019.5
49.91736, 17.34128, 2456050.5
52.73737, 18.07526, 2456081.5
55.57189, 18.76596, 2456112.5
58.41996, 19.41164, 2456143.5
61.28049, 20.01071, 2456174.5
64.15212, 20.56171, 2456205.5
67.03329, 21.06335, 2456236.5
69.92229, 21.5145, 2456267.5
72.8172, 21.91424, 2456298.5
75.71594, 22.2618, 2456329.5
78.61637, 22.55662, 2456360.5
81.5162, 22.79835, 2456391.5
84.41307, 22.9868, 2456422.5
87.30463, 23.12201, 2456453.5
90.18849, 23.20419, 2456484.5
93.06224, 23.23375, 2456515.5
95.92361, 23.21127, 2456546.5
98.77037, 23.1375, 2456577.5
101.60039, 23.01336, 2456608.5
104.41172, 22.83991, 2456639.5
107.20256, 22.61834, 2456670.5
109.97121, 22.34998, 2456701.5
112.71625, 22.03625, 2456732.5
115.43641, 21.67865, 2456763.5
118.13062, 21.27879, 2456794.5
120.79805, 20.8383, 2456825.5
123.43806, 20.3589, 2456856.5
126.05019, 19.84231, 2456887.5
128.63418, 19.2903, 2456918.5
131.18998, 18.70464, 2456949.5
133.71767, 18.0871, 2456980.5
136.21754, 17.43945, 2457011.5
138.69005, 16.76345, 2457042.5
141.13573, 16.06081, 2457073.5
143.5553, 15.33326, 2457104.5
145.94958, 14.58246, 2457135.5
148.31945, 13.81007, 2457166.5
150.66595, 13.01768, 2457197.5
152.99018, 12.20686, 2457228.5
155.2933, 11.37914, 2457259.5
157.57653, 10.53601, 2457290.5
159.84118, 9.67891, 2457321.5
162.08853, 8.80927, 2457352.5
164.31996, 7.92846, 2457383.5
166.53688, 7.03782, 2457414.5
168.74072, 6.13865, 2457445.5
170.93289, 5.23226, 2457476.5
173.11489, 4.31986, 2457507.5
175.28818, 3.4027, 2457538.5
177.45422, 2.48199, 2457569.5
179.61451, 1.5589, 2457600.5
181.77055, 0.63462, 2457631.5
183.9238, -0.2897, 2457662.5
186.0758, -1.21293, 2457693.5
188.228, -2.1339, 2457724.5
190.38187, -3.05148, 2457755.5
192.53888, -3.96452, 2457786.5
194.70049, -4.87189, 2457817.5
196.86812, -5.77242, 2457848.5
199.04322, -6.66497, 2457879.5
201.22719, -7.54836, 2457910.5
203.42138, -8.42139, 2457941.5
205.62716, -9.28288, 2457972.5
207.84584, -10.13158, 2458003.5
210.07869, -10.96624, 2458034.5
212.32696, -11.78562, 2458065.5
214.59186, -12.58841, 2458096.5
216.87448, -13.37329, 2458127.5
219.17594, -14.13892, 2458158.5
221.49722, -14.88394, 2458189.5
223.83925, -15.60693, 2458220.5
226.20286, -16.30648, 2458251.5
228.58885, -16.98116, 2458282.5
230.99784, -17.62951, 2458313.5
233.43037, -18.25004, 2458344.5
235.88687, -18.84127, 2458375.5
238.3676, -19.4017, 2458406.5
240.87271, -19.92984, 2458437.5
243.40224, -20.42418, 2458468.5
245.956, -20.88324, 2458499.5
248.5337, -21.30557, 2458530.5
251.13489, -21.68972, 2458561.5
253.75889, -22.03431, 2458592.5
256.4049, -22.33798, 2458623.5
259.07198, -22.59945, 2458654.5
261.75897, -22.81749, 2458685.5
264.46461, -22.99097, 2458716.5
267.1875, -23.11883, 2458747.5
269.92606, -23.20014, 2458778.5
272.67861, -23.23406, 2458809.5
275.44342, -23.21987, 2458840.5
278.21863, -23.15699, 2458871.5
281.00235, -23.04498, 2458902.5
283.79268, -22.88354, 2458933.5
286.58767, -22.67251, 2458964.5
289.38539, -22.4119, 2458995.5
292.184, -22.10187, 2459026.5
294.98167, -21.74272, 2459057.5
297.77667, -21.33495, 2459088.5
300.56742, -20.87915, 2459119.5
303.35243, -20.37612, 2459150.5
306.13034, -19.82677, 2459181.5
308.89998, -19.23218, 2459212.5
311.66031, -18.59353, 2459243.5
314.41046, -17.91218, 2459274.5
317.14981, -17.18955, 2459305.5
319.87786, -16.42723, 2459336.5
322.59427, -15.62689, 2459367.5
325.29893, -14.7903, 2459398.5
327.99188, -13.91933, 2459429.5
330.6733, -13.01594, 2459460.5
333.34357, -12.08215, 2459491.5
336.00323, -11.12006, 2459522.5
338.6529, -10.13185, 2459553.5
341.29338, -9.11974, 2459584.5
343.92558, -8.08599, 2459615.5
346.55047, -7.03297, 2459646.5
349.16916, -5.96302, 2459677.5
351.78285, -4.87857, 2459708.5
354.39277, -3.78207, 2459739.5
357.00025, -2.67598, 2459770.5
359.60664, -1.56282, 2459801.5
2.21329, -0.44513, 2459832.5
4.82163, 0.67454, 2459863.5
7.43307, 1.79363, 2459894.5
10.049, 2.90954, 2459925.5
12.67083, 4.01969, 2459956.5
15.29992, 5.12149, 2459987.5
17.93756, 6.21234, 2460018.5
20.58498, 7.28962, 2460049.5
23.24341, 8.35078, 2460080.5
25.9139, 9.39323, 2460111.5
28.59743, 10.41443, 2460142.5
31.29492, 11.41187, 2460173.5
34.00708, 12.38307, 2460204.5
36.73448, 13.32558, 2460235.5
39.47759, 14.23703, 2460266.5
42.23665, 15.11509, 2460297.5
45.01171, 15.95752, 2460328.5
47.8027, 16.76217, 2460359.5
50.60927, 17.52697, 2460390.5
53.43087, 18.24997, 2460421.5
56.26678, 18.92932, 2460452.5
59.116, 19.56331, 2460483.5
61.97734, 20.15039, 2460514.5
64.84944, 20.68914, 2460545.5
67.73074, 21.17832, 2460576.5
70.61942, 21.61685, 2460607.5
73.51359, 22.00384, 2460638.5
76.41117, 22.33857, 2460669.5
