SCW, Obs Start Date, Obs End Date, Count Rate, Error
004500180010.001,2003-02-25T14:10:17.266,2003-02-25T14:46:19.267,188.34052,1.4216706
010200140010.001,2003-08-15T11:26:23.979,2003-08-15T12:03:02.980,196.46164,1.161803
017000770010.001,2004-03-06T19:02:09.545,2004-03-06T19:32:08.546,202.97675,1.263656
023900810010.001,2004-09-29T12:49:58.806,2004-09-29T13:19:57.807,206.68382,1.4285288
030000080010.001,2005-03-29T14:09:43.769,2005-03-29T14:39:42.770,212.73186,1.321861
035200470010.001,2005-09-02T07:37:46.896,2005-09-02T08:37:17.898,201.40076,1.8455694
036500830010.001,2005-10-11T08:34:54.866,2005-10-11T09:04:54.867,204.22478,1.2397379
042200600010.001,2006-03-29T21:13:15.673,2006-03-29T21:38:14.674,187.46123,1.2880256
048300560010.001,2006-09-29T08:04:58.462,2006-09-29T08:30:12.463,194.36026,1.4206325
054100190010.001,2007-03-19T22:00:44.356,2007-03-19T22:30:44.357,199.32965,1.5824884
060500110010.001,2007-09-27T04:30:03.707,2007-09-27T05:03:23.708,205.11754,1.4733465
066600320010.001,2008-03-28T04:17:39.336,2008-03-28T04:49:54.337,209.4444,1.6429667
072800220010.001,2008-09-29T10:23:13.505,2008-09-29T10:44:14.506,207.29735,2.0575235
072800860010.001,2008-10-01T01:21:56.599,2008-10-01T01:54:07.600,214.0723,1.8683397
077400150010.001,2009-02-13T20:18:42.739,2009-02-13T20:50:41.741,205.52748,1.7280108
083900320010.001,2009-08-27T17:01:54.526,2009-08-27T17:35:07.527,204.2001,1.8852496
090200100010.001,2010-03-03T20:22:23.065,2010-03-03T20:52:23.066,202.64159,2.0293503
091200450010.001,2010-04-03T23:34:41.882,2010-04-04T00:34:11.885,190.13892,3.6476276
097000130010.001,2010-09-23T03:26:24.661,2010-09-23T03:56:24.662,190.41426,2.1573272
101900900010.001,2011-02-18T15:16:18.839,2011-02-18T15:46:54.841,187.10056,4.449437
102300850010.001,2011-03-02T14:02:52.509,2011-03-02T14:36:44.510,179.13799,7.186769
108900160010.001,2011-09-14T04:44:19.655,2011-09-14T05:16:42.657,192.23947,2.283574
109600720010.001,2011-10-06T14:29:30.850,2011-10-06T15:03:09.851,201.73325,2.5265496
116000580010.001,2012-04-14T17:14:13.632,2012-04-14T17:42:03.633,202.81584,2.7543998
121400710010.001,2012-09-23T23:43:22.856,2012-09-24T00:20:56.858,199.04723,2.942566
