x,Curve1
3.22383,4.74577e-07
3.60707,3.44565e-07
4.16541,2.69663e-07
4.75143,2.98037e-07
5.42942,2.32086e-07
5.89628,8.06464e-07
6.08553,4.44698e-07
6.4484,3.53291e-07
8.33176,1.66827e-07
x,Curve2
3.30403,2.51424e-07
3.82216,1.45024e-07
4.33699,2.18564e-07
4.90393,3.49774e-07
5.45809,2.45214e-07
6.02178,2.57792e-07
6.66706,2.56506e-07
7.27856,4.10493e-07
7.86291,1.54768e-07
8.52405,2.30928e-07
9.25701,2.25223e-07
10.0178,1.42151e-07
10.8792,2.241e-07
11.8562,2.0999e-07
13.012,8.53416e-08
14.2554,1.7191e-07
15.5629,1.47216e-07
17.0201,1.57108e-07
18.745,1.18725e-07
20.4643,1.50192e-07
x,Curve3
3.00527,2.66979e-07
3.09086,2.68317e-07
3.29245,2.75113e-07
3.29823,2.59085e-07
3.50104,2.59085e-07
3.72285,2.69663e-07
3.73594,2.40356e-07
3.97262,2.40356e-07
3.9796,2.57792e-07
4.22431,2.57792e-07
4.78491,2.48921e-07
4.79331,2.36776e-07
5.09699,2.36776e-07
5.10594,2.21869e-07
5.4199,2.20762e-07
5.42942,2.33249e-07
5.7734,2.33249e-07
5.78354,2.241e-07
6.55107,2.25223e-07
7.40743,2.20762e-07
7.42045,2.30928e-07
7.89056,2.28629e-07
7.90442,2.14234e-07
8.41997,2.14234e-07
8.43476,2.22981e-07
8.95341,2.17474e-07
8.96913,2.25223e-07
9.52064,2.17474e-07
9.53736,2.02765e-07
10.7841,2.01753e-07
10.8031,1.93839e-07
11.5076,1.93839e-07
12.2367,1.87169e-07
12.3013,1.80728e-07
12.9891,1.81635e-07
13.0806,1.63523e-07
13.885,1.62707e-07
13.9094,1.53996e-07
14.7906,1.53227e-07
14.8166,1.37259e-07
15.7552,1.35215e-07
16.724,1.3454e-07
16.7534,1.22342e-07
17.8148,1.21124e-07
17.8461,1.12932e-07
18.9767,1.12932e-07
19.0434,1.07961e-07
20.2144,1.07422e-07
21.4951,9.43212e-08
21.5328,8.4492e-08
22.897,8.40705e-08
22.9373,7.64482e-08
24.3904,7.60667e-08
24.4333,7.1635e-08
25.9812,6.98656e-08
27.6758,6.04314e-08
29.4291,5.74828e-08
31.3486,5.098e-08
33.3346,3.98979e-08
35.5088,3.98979e-08
35.5712,3.68291e-08
37.8247,3.36579e-08
40.2211,3.38267e-08
x,Curve4
3.22383,6.50385e-07
3.41007,6.4391e-07
3.88983,5.65382e-07
4.46051,4.74577e-07
5.08805,4.02361e-07
5.10594,3.44565e-07
5.65308,3.39433e-07
5.67296,3.08658e-07
6.00068,2.9507e-07
6.26984,2.9655e-07
6.30294,2.76493e-07
6.48244,2.64321e-07
6.49383,2.76493e-07
6.73764,2.66979e-07
6.76133,2.53952e-07
6.95389,2.47679e-07
7.1019,2.48921e-07
7.11437,2.40356e-07
7.36853,2.34419e-07
7.38148,2.27488e-07
7.55183,2.18564e-07
7.91831,2.12102e-07
7.93222,2.21869e-07
8.17245,1.98748e-07
8.59918,1.98748e-07
8.62942,1.86235e-07
9.03232,1.76264e-07
9.06408,1.85306e-07
9.42091,1.76264e-07
9.80898,1.67664e-07
10.3212,1.46482e-07
10.822,1.46482e-07
10.841,1.3864e-07
11.1498,1.39335e-07
11.189,1.35215e-07
11.3472,1.31217e-07
11.8354,1.22956e-07
11.8979,1.33201e-07
13.012,1.21124e-07
13.1036,1.05822e-07
14.5332,1.04246e-07
15.6725,9.10757e-08
15.7,8.61997e-08
16.4908,8.49158e-08
17.2608,7.99685e-08
17.2911,7.53095e-08
18.4189,7.49337e-08
18.4512,6.77998e-08
19.9326,6.77998e-08
20.0378,6.01298e-08
20.7537,5.98298e-08
x,Curve5
27.004,6.77998e-08
48.0218,6.77998e-08
