ID, Version, Start Time, End Time, Jupiter RA, Jupiter DEC
002800250010, 001, 52645.0811884172, 52645.1066629679, 196.39812, -5.57746
002800330010, 001, 52645.2961653846, 52645.3217093798, 196.39812, -5.57746
002800340010, 001, 52645.3230982694, 52645.3486306906, 196.39812, -5.57746
002800350010, 001, 52645.3500195802, 52645.3755520014, 196.39812, -5.57746
002800430010, 001, 52645.5650428439, 52645.5905984132, 196.39812, -5.57746
003200220010, 001, 52656.8275372121, 52656.8530001895, 196.39812, -5.57746
003200300010, 001, 52657.0425141864, 52657.0680466085, 196.39812, -5.57746
003200310010, 001, 52657.0694354982, 52657.0949679204, 196.39812, -5.57746
003200320010, 001, 52657.09635681, 52657.1218892323, 196.39812, -5.57746
003200400010, 001, 52657.311380083, 52657.3369240794, 196.39812, -5.57746
007700150010, 001, 52791.4099117351, 52791.4174464617, 196.39812, -5.57746
007700160010, 001, 52791.4187890551, 52791.4553052801, 196.39812, -5.57746
007700170010, 001, 52791.4567057438, 52791.4925043758, 196.39812, -5.57746
007700180010, 001, 52791.4939048395, 52791.5297266197, 196.39812, -5.57746
007700190010, 001, 52791.5311270835, 52791.5669257157, 196.39812, -5.57746
007700200010, 001, 52791.5683377535, 52791.6041479599, 196.39812, -5.57746
007700210010, 001, 52791.6055599978, 52791.6413354819, 196.39812, -5.57746
007700220010, 001, 52791.6427359457, 52791.6785345781, 196.39812, -5.57746
007700230010, 001, 52791.6799234678, 52791.7157336742, 196.39812, -5.57746
007700240010, 001, 52791.717122564, 52791.7529443445, 196.39812, -5.57746
007700250010, 001, 52791.7542869379, 52791.7900855703, 196.39812, -5.57746
007700260010, 001, 52791.7914628859, 52791.8272499443, 196.39812, -5.57746
007700270010, 001, 52791.8286272599, 52791.8644490407, 196.39812, -5.57746
007700280010, 001, 52791.8658379304, 52791.901624989, 196.39812, -5.57746
007700290010, 001, 52791.9029675824, 52791.9387777893, 196.39812, -5.57746
007700300010, 001, 52791.940166679, 52791.9759653118, 196.39812, -5.57746
007700310010, 001, 52791.9773657756, 52792.0131528343, 196.39812, -5.57746
007700320010, 001, 52792.01453015, 52792.0503519308, 196.39812, -5.57746
007700330010, 001, 52792.0517292465, 52792.0875278791, 263.83303, -22.95481
007700340010, 001, 52792.0889051948, 52792.1247038273, 263.83303, -22.95481
007700350010, 001, 52792.1260348466, 52792.1618566274, 263.83303, -22.95481
007700360010, 001, 52792.1632223689, 52792.2003057245, 263.83303, -22.95481
007700370010, 001, 52792.2186853652, 52792.2544608497, 263.83303, -22.95481
007700380010, 001, 52792.2558265912, 52792.291636798, 263.83303, -22.95481
007700390010, 001, 52792.2930141137, 52792.33959979, 263.83303, -22.95481
007700400010, 001, 52792.33959979, 52792.3767294421, 263.83303, -22.95481
007700410010, 001, 52792.3767294421, 52792.522701752, 263.83303, -22.95481
007700460010, 001, 52792.5246230494, 52792.6098545816, 263.83303, -22.95481
007700460020, 001, 52792.6098545816, 52792.6354101523, 263.83303, -22.95481
007700470010, 001, 52792.6367874679, 52792.6725976743, 263.83303, -22.95481
007700480010, 001, 52792.67397499, 52792.7097851964, 263.83303, -22.95481
007700490010, 001, 52792.7111625121, 52792.7469727186, 263.83303, -22.95481
007700500010, 001, 52792.7483616083, 52792.7841602407, 263.83303, -22.95481
007700510010, 001, 52792.7855491304, 52792.821370911, 263.83303, -22.95481
007700520010, 001, 52792.8227019303, 52792.8585005626, 263.83303, -22.95481
007700530010, 001, 52792.8598894523, 52792.8956880846, 263.83303, -22.95481
007700540010, 001, 52792.8970654003, 52792.9328756067, 263.83303, -22.95481
007700550010, 001, 52792.9342297741, 52792.9700515546, 263.83303, -22.95481
007700560010, 001, 52792.971394148, 52793.0071812063, 263.83303, -22.95481
007700570010, 001, 52793.008570096, 52793.0443803026, 263.83303, -22.95481
007700580010, 001, 52793.0457691923, 52793.081590973, 263.83303, -22.95481
