Conversion Factor (ph/cm2/s/counts), Conversion Factor Error (ph/cm2/s/counts), Conversion Factor (erg/cm2/s/counts), Conversion Factor Error (erg/cm2/s/counts)
0.0015486746523878363,0.44619306241632983,5.13466624435754e-11,1.4793633075372986e-08
0.0014073629823922926,0.3583241470500696,4.666144169213379e-11,1.1880319081605512e-08
0.001346864683986175,0.41667203592021845,4.465560676619889e-11,1.3814856687352093e-08
0.0016193694946436434,0.37307350807273004,5.3690566113861387e-11,1.2369337521031299e-08
0.001491784828107845,0.3631020188186853,4.946046730292716e-11,1.2038730513292302e-08
0.0014057736965206677,0.3122700796179419,4.660874855542438e-11,1.0353385938517611e-08
0.0015093103002513963,0.24593682013112803,5.0041528341752674e-11,8.154091542887147e-09
0.0014458380099706216,0.20297517532150514,4.793709003475093e-11,6.729688379408461e-09
0.0015461448236114461,0.2887406260422307,5.1262785391658095e-11,9.573261521571155e-09
0.0013990246771012184,0.32172951822075174,4.6384983272366846e-11,1.0667015789755448e-08
0.001396297131855101,0.2269386626367925,4.6294550885657324e-11,7.524203284299419e-09
0.0013282347260788264,0.1766751033048886,4.403792624916341e-11,5.8577034741239475e-09
0.001318033801384775,0.1652186175008348,4.369971225691515e-11,5.477861065995578e-09
0.0010342152729320149,0.10370345174148073,3.428964400712074e-11,3.438311670300341e-09
